file_id,neighborhood,date,count,type,x,y
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,5,1,6279991.691202289,1841643.053813526
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,2,2,6279935.312732169,1842482.3857506209
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,2,1,6280010.469570038,1842502.6573557577
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,1,6279822.49006836,1841707.5371510528
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,1,6279012.965650795,1842637.7504627458
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,1,6278861.957247524,1841532.9761968306
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,1,6279894.987204218,1842865.4666822387
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,2,2,6280001.083180751,1842806.8124643352
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,2,1,6280000.490893821,1842733.422279149
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,2,6279889.094402116,1842624.3641875624
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,2,6279817.739533909,1841607.9728706642
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,2,6279119.357770793,1842615.7913374356
6WLSk+9m0gfIpFtGF/Q1Wh/cvLVLWmsVL7+bCg==,columbia,,1,2,6278759.258006745,1841523.4457004115
