,neighborhood,date,type,x,y
17480,east_village,2017-12-27,Individual,6285148.262456528,1841497.9448346694
17481,east_village,2017-12-27,Individual,6285071.66573944,1841329.4887233812
17482,east_village,2017-12-27,Individual,6285074.290435861,1841234.9766856278
17483,east_village,2017-12-27,Individual,6285072.811721572,1841234.887704364
17484,east_village,2017-12-27,Individual,6284908.129252985,1841104.727102822
17485,east_village,2017-12-27,Structure,6285063.97761087,1841128.7218337264
17486,east_village,2017-12-27,Structure,6285286.887818489,1841120.8180626198
17487,east_village,2017-12-27,Individual,6284793.5110263815,1840445.178877063
17488,east_village,2017-12-27,Individual,6285075.936759709,1840428.3086018974
17489,east_village,2017-12-27,Individual,6285352.591774592,1840336.454705968
17490,east_village,2017-12-27,Structure,6284854.83697144,1840322.1094086978
17491,east_village,2017-12-27,Individual,6284804.839682474,1840056.6739987908
17492,east_village,2017-12-27,Individual,6284800.667305118,1840059.2543224297
17493,east_village,2017-12-27,Individual,6285186.859648231,1840080.2609514932
17494,east_village,2017-12-27,Individual,6285185.495724908,1840079.4086957804
17495,east_village,2017-12-27,Individual,6285177.455666631,1840080.7047035908
17496,east_village,2017-12-27,Individual,6285180.90094695,1840082.5966017412
17497,east_village,2018-01-24,Individual,6284006.804003435,1841215.5971587389
17498,east_village,2018-01-24,Individual,6284008.687784787,1841216.344248595
17499,east_village,2018-01-24,Individual,6284000.444412118,1841220.7970897986
17500,east_village,2018-01-24,Individual,6284001.1451663105,1841216.8754663481
17501,east_village,2018-01-24,Individual,6283998.556983218,1841217.6820790912
17502,east_village,2018-01-24,Individual,6284314.32819803,1841242.2562950237
17503,east_village,2018-01-24,Individual,6284329.701380925,1840837.8937043701
17504,east_village,2018-01-24,Individual,6282349.275399911,1840896.4936975085
17505,east_village,2018-01-24,Individual,6282211.30788095,1840795.522725701
17506,east_village,2018-01-24,Individual,6282216.757758314,1840045.7577853804
17507,east_village,2018-01-24,Individual,6282424.802069568,1840164.264275031
17508,east_village,2018-01-24,Individual,6282427.491721201,1839957.033644286
17509,east_village,2018-01-24,Individual,6282941.008630924,1840080.516239858
17510,east_village,2018-01-24,Individual,6283824.827962618,1839978.1194746713
17511,east_village,2018-01-24,Individual,6283891.763269302,1840109.4137496785
17512,east_village,2018-01-24,Individual,6283754.113222116,1840454.9926224684
17513,east_village,2018-01-24,Individual,6284639.456674829,1840070.5620146054
17514,east_village,2018-01-24,Individual,6285081.15450183,1840329.6232286028
17515,east_village,2018-01-24,Individual,6284932.107197861,1840131.0755063347
17516,east_village,2018-01-24,Individual,6284109.244673279,1839965.993182266
17517,east_village,2018-01-24,Individual,6285219.236365309,1839993.9780847454
17518,east_village,2018-01-24,Individual,6284795.033587061,1839998.562659745
17519,east_village,2018-01-24,Individual,6284800.301248909,1839999.6714245882
17520,east_village,2018-01-24,Individual,6284852.200776548,1840183.6170282743
17521,east_village,2018-01-24,Individual,6284856.386010484,1840185.9207201947
17522,east_village,2018-01-24,Individual,6284325.241720999,1839955.358043594
17523,east_village,2018-01-24,Individual,6284326.261969359,1839965.2648019542
17524,east_village,2018-01-24,Individual,6284326.651547591,1839963.4764110884
17525,east_village,2018-01-24,Individual,6284043.601621912,1840070.9854689008
17526,east_village,2018-01-24,Individual,6284051.137980542,1840075.1325751515
17527,east_village,2018-01-24,Individual,6284043.491078817,1840075.792516107
17528,east_village,2018-01-24,Individual,6284042.417029964,1840072.6181067363
17529,east_village,2018-01-24,Individual,6283744.652059257,1840047.25575169
17530,east_village,2018-01-24,Individual,6283745.289093145,1840056.0329448017
17531,east_village,2018-01-24,Individual,6283750.570516393,1840052.0096625227
17532,east_village,2018-01-24,Individual,6283750.097851604,1840049.6261137547
17533,east_village,2018-01-24,Individual,6283755.492688992,1840047.4416341493
17534,east_village,2018-01-24,Individual,6282760.902776263,1840074.1006108227
17535,east_village,2018-01-24,Individual,6282765.343188562,1840075.390941399
17536,east_village,2018-01-24,Individual,6282627.237132499,1840068.0244442075
17537,east_village,2018-01-24,Individual,6282625.794885613,1840065.6159596427
17538,east_village,2018-01-24,Individual,6282215.628695437,1840393.523972423
17539,east_village,2018-01-24,Individual,6282454.412757174,1840544.099955792
17540,east_village,2018-01-24,Individual,6282457.929413927,1840545.866819554
17541,east_village,2018-01-24,Individual,6282714.867229982,1840564.691930676
17542,east_village,2018-01-24,Individual,6282722.9495501565,1840562.616487052
17543,east_village,2018-01-24,Individual,6282718.48254736,1840558.9450824647
17544,east_village,2018-01-24,Individual,6282708.899346654,1840565.8073078208
17545,east_village,2018-01-24,Individual,6282689.466646166,1840723.5005230934
17546,east_village,2018-01-24,Individual,6282693.097921461,1840728.3526145304
17547,east_village,2018-01-24,Individual,6282685.559769912,1840726.2559070957
17548,east_village,2018-01-24,Individual,6282693.141685102,1840724.3845975162
17549,east_village,2018-01-24,Individual,6282690.346226556,1840725.8782692526
17550,east_village,2018-01-24,Individual,6282689.013161651,1840724.708066678
17551,east_village,2018-01-24,Individual,6282689.227957709,1840729.0516655408
17552,east_village,2018-01-24,Individual,6282683.94022916,1840725.4762257254
17553,east_village,2018-01-24,Individual,6282689.079629213,1840722.6137463483
17554,east_village,2018-01-24,Individual,6282693.105856589,1840728.388124172
17555,east_village,2018-01-24,Individual,6282688.873796064,1840723.442786651
17556,east_village,2018-01-24,Individual,6282371.142923092,1840747.0860592772
17557,east_village,2018-01-24,Individual,6282367.307814278,1840746.842796367
17558,east_village,2018-01-24,Individual,6282362.974958111,1840754.1579599478
17559,east_village,2018-01-24,Individual,6282365.595181895,1840753.1615982617
17560,east_village,2018-01-24,Individual,6282362.780632014,1840751.453648864
17561,east_village,2018-01-24,Individual,6282364.315550593,1840751.5750428576
17562,east_village,2018-01-24,Individual,6282364.556565375,1840754.4379888803
17563,east_village,2018-01-24,Individual,6282625.135254134,1840907.8648118142
17564,east_village,2018-01-24,Individual,6282627.331815268,1840906.101343509
17565,east_village,2018-01-24,Individual,6282620.924089882,1840907.5990063744
17566,east_village,2018-01-24,Individual,6282626.673198423,1840903.2154562809
17567,east_village,2018-01-24,Individual,6282631.835925388,1840902.9556159063
17568,east_village,2018-01-24,Individual,6282625.762854087,1840906.1460456124
17569,east_village,2018-01-24,Individual,6282627.5303423675,1840902.938709768
17570,east_village,2018-01-24,Individual,6283538.041188739,1840732.067079646
17571,east_village,2018-01-24,Individual,6283538.196976618,1840722.7002120574
17572,east_village,2018-01-24,Individual,6283540.146164161,1840736.8560698559
17573,east_village,2018-01-24,Individual,6284141.107826499,1840903.3927428452
17574,east_village,2018-01-24,Individual,6284145.845020602,1840901.7554551393
17575,east_village,2018-01-24,Individual,6284485.7204531,1840737.0460577905
17576,east_village,2018-01-24,Individual,6284483.223278529,1840732.1990146472
17577,east_village,2018-01-24,Vehicle,6283787.485030472,1841016.1207382665
17578,east_village,2018-01-24,Structure,6284010.612328572,1841116.5577716485
17579,east_village,2018-01-24,Structure,6284144.192607344,1841103.2142024569
17580,east_village,2018-01-24,Structure,6284143.724664188,1841097.212779479
17581,east_village,2018-01-24,Structure,6284143.348722308,1841102.7519714367
17582,east_village,2018-01-24,Structure,6284140.249512417,1841101.7603421756
